,D1,D2,D3,D4,D5
0,23.072349974229613,11.135528725660043,35.10460558578223,57.654141221598294,83.26063495634256
1,30.615900008546756,8.888194417315589,27.15388247255507,48.774993593028796,74.41326046702518
2,38.785736209763165,14.0,20.108041509140897,39.949968710876355,65.60741827974435
3,20.108041509140897,14.0,38.785736209763165,61.61168720299745,87.20282870029695
4,18.77054430040145,15.620499351813308,40.64890322423636,63.592452382338585,89.1758562242793
5,51.08163401197473,25.514701644346147,14.468356276140469,27.40437921208944,53.00314456080255
6,22.300971578236975,11.789826122551595,36.018513757973594,58.642987645583,84.24567249024328
7,21.548395145191982,12.489995996796797,36.93688310257558,59.632206063502295,85.231058501777
8,39.71565602295061,14.798648586948742,19.42506971244462,38.97435053981015,64.63229326995393
9,56.86240703077327,31.22498999199199,15.275252316519467,21.79449471770337,47.258156262526086
10,41.58525379666852,16.46207763315433,18.14754345175493,37.027017163147235,62.68439465555469
11,48.21134029803915,22.715633383201094,14.977761292440647,30.265491900843113,55.89573627150226
12,82.27595841637661,56.66568626602876,34.19551627528576,10.535653752852738,23.860706890897706
13,69.51498639382254,43.86342439892262,23.072349974229613,11.135528725660043,35.10460558578223
14,83.26063495634256,57.654141221598294,35.10460558578223,11.135528725660043,23.072349974229613
15,94.11340676722597,68.54925236645546,45.357836515130806,19.974984355438178,16.041612554021285
16,104.99682534883297,79.47326594522211,55.89573627150226,30.265491900843113,14.977761292440647
17,101.03629710818451,75.49834435270749,52.04164998665332,26.457513110645905,14.433756729740644
18,80.30774142841607,54.69003565550127,32.39341496868358,9.539392014169456,25.482019804821856
19,76.37626158259734,50.7444578254611,28.867513459481287,8.660254037844387,28.867513459481287
